Source	Target	WordWeight
0	umbilical	23.01
0	resorption	8.01
0	altitude	6.01
0	litter	3.01
0	slca	7.01
0	supplied	1.01
0	puzzle	1.01
0	cortisol	1.01
0	explant	9.01
0	nourish	1.01
0	profound	8.01
0	van	1.01
0	patent	6.01
0	mosaic	1.01
0	fascicularis	1.01
0	dpc	11.01
0	uterine	37.01
0	transplacental	2.01
0	pup	4.01
0	preeclampsia	122.01
0	nulliparas	18.01
0	inaccessibility	1.01
0	juxtapose	1.01
0	xenotransplant	9.01
0	ultrasound	8.01
0	waveform	1.01
0	sga	1.01
0	rest	1.01
0	decidua	2.01
0	viscera	2.01
0	wnta	1.01
0	mage	1.01
0	ordinarily	1.01
0	bbc	3.01
0	ascendancy	1.01
0	allogeneic	1.01
0	med	3.01
0	overactivated	2.01
0	deconjugated	1.01
0	election	4.01
0	pparg	2.01
0	portal	1.01
0	ochratoxin	1.01
0	singular	1.01
0	rupture	1.01
0	bad	1.01
0	fms	6.01
0	till	1.01
0	cdo	7.01
0	korean	1.01
0	prl	1.01
0	ppargca	2.01
0	subcapsular	1.01
0	midgestation	6.01
0	runtime	1.01
0	nonpregnant	5.01
0	villous	1.01
0	surmised	1.01
0	nonlipid	1.01
0	midpregnancy	3.01
0	pfas	17.01
0	σpcbs	1.01
0	hen	1.01
0	transthyretin	6.01
0	parous	21.01
0	noncytotoxic	2.01
0	iugr	17.01
0	choreograph	1.01
0	endovascular	5.01
0	previa	7.01
0	weibull	1.01
0	amnion	12.01
0	rtlas	1.01
0	trihydroxystilbene	1.01
0	silastic	2.01
0	hostile	2.01
0	htra	2.01
0	barker	5.01
0	virgin	12.01
0	drank	1.01
0	pentachlorbenzene	1.01
0	pcrs	1.01
0	choriodecidua	6.01
0	meconium	2.01
0	porridge	1.01
0	mafp	1.01
0	hdp	9.01
0	cochrane	1.01
0	uteroplacental	2.01
0	curr	1.01
0	mechanotransduction	1.01
0	pih	1.01
0	phlda	3.01
0	gcm	1.01
0	loi	21.01
0	nonimprinted	1.01
0	arteriosus	7.01
0	mtmdelta	1.01
0	edward	1.01
0	ilk	2.01
0	labyrinth	3.01
0	ductus	6.01
0	unk	9.01
0	itgav	2.01
0	tln	1.01
0	anything	1.01
0	iud	1.01
0	pfass	11.01
0	technologist	1.01
0	heartbeat	1.01
0	hpl	2.01
0	concepti	2.01
0	enpp	2.01
0	ndvi	2.01
0	immunol	1.01
0	adrenomedullin	3.01
0	pobw	2.01
0	uicc	1.01
0	cyscyss	1.01
0	tis	1.01
0	diethylphthalate	1.01
0	rae	1.01
0	ldhb	1.01
0	goines	1.01
0	braunschweig	1.01
0	issues	1.01
1	evaluable	10.01
1	young	10.01
1	typical	15.01
1	since	18.01
1	thus	7.01
1	reduce	57.01
1	correlate	27.01
1	took	1.01
1	measurable	70.01
1	number	37.01
1	six	3.01
1	remain	41.01
1	still	14.01
1	observability	116.01
1	comparability	73.01
1	level	102.01
1	addition	44.01
1	comparison	8.01
1	online	28.01
1	character	1.01
1	total	36.01
1	alter	61.01
1	protect	32.01
1	expose	162.01
1	mice	79.01
1	cbl	12.01
1	administrated	71.01
1	water	1.01
1	intraperitonal	37.01
1	inject	227.01
1	accompanied	12.01
1	maintain	29.01
1	complex	3.01
1	single	58.01
1	within	54.01
1	statist	1.01
1	analyze	21.01
1	initial	71.01
1	robust	2.01
1	late	28.01
1	substantia	20.01
1	alone	54.01
1	indicate	70.01
1	although	20.01
1	emerge	11.01
1	sought	9.01
1	determinant	27.01
1	least	23.01
1	point	105.01
1	dose	216.01
1	survivability	7.01
1	serve	6.01
1	depress	8.01
1	oxygen	4.01
1	mark	11.01
1	elev	41.01
1	phase	13.01
1	rise	5.01
1	reductanct	45.01
1	need	1.01
1	toxic	17.01
1	basic	1.01
1	liter	1.01
1	system	26.01
1	environ	1.01
1	various	12.01
1	dynamic	7.01
1	acuta	68.01
1	adult	1.01
1	electret	8.01
1	min	39.01
1	complete	29.01
1	failure	8.01
1	experience	55.01
1	implicate	8.01
1	molecular	1.01
1	neurotoxin	1.01
1	decline	12.01
1	treat	211.01
1	restoration	10.01
1	agent	26.01
1	persist	55.01
1	old	21.01
1	screen	1.01
1	data	54.01
1	utilisation	16.01
1	taken	19.01
1	exhibit	22.01
1	limit	8.01
1	without	28.01
1	vehicle	76.01
1	final	9.01
1	assess	75.01
1	fall	3.01
1	million	6.01
1	mean	19.01
1	percentage	9.01
1	act	10.01
1	except	12.01
1	appear	32.01
1	given	36.01
1	conclude	16.01
1	convulsant	2.01
1	reversal	9.01
1	immediate	38.01
1	greater	44.01
1	peak	28.01
1	pretreat	15.01
1	administer	79.01
1	together	29.01
1	suppress	2.01
1	combination	86.01
1	therapeutic	28.01
1	rapid	21.01
1	bodies	48.01
1	weight	36.01
1	second	20.01
1	week	550.01
1	prior	78.01
1	post	280.01
1	subject	9.01
1	histopathologic	10.01
1	baprvt	1.01
1	receive	79.01
1	degreasing	13.01
1	anima	266.01
1	obtain	13.01
1	clear	2.01
1	apparatus	15.01
1	reach	16.01
1	onc	13.01
1	burden	5.01
1	sustain	8.01
1	near	18.01
1	respect	37.01
1	end	34.01
1	contrast	25.01
1	either	54.01
1	stage	20.01
1	occur	12.01
1	absence	27.01
1	reflect	14.01
1	unexpected	4.01
1	seen	4.01
1	term	43.01
1	baseline	21.01
1	throughout	20.01
1	work	21.01
1	date	2.01
1	later	77.01
1	attempt	5.01
1	month	67.01
1	per	33.01
1	ani	21.01
1	moderate	26.01
1	male	38.01
1	four	39.01
1	despite	11.01
1	subsequence	67.01
1	approximate	6.01
1	led	21.01
1	marker	16.01
1	subchronic	7.01
1	start	45.01
1	dehydrogenase	1.01
1	normal	63.01
1	histologic	18.01
1	extension	13.01
1	mild	13.01
1	gradual	15.01
1	separable	12.01
1	duration	27.01
1	encounter	7.01
1	along	1.01
1	monitor	20.01
1	amount	16.01
1	twentieth	13.01
1	best	2.01
1	ingest	5.01
1	possible	21.01
1	removable	2.01
1	hour	147.01
1	whole	20.01
1	consequence	25.01
1	hypotheses	12.01
1	snp	1.01
1	magnitude	9.01
1	strong	1.01
1	modest	9.01
1	begin	14.01
1	coincide	9.01
1	protocol	23.01
1	retain	1.01
1	thought	1.01
1	establish	4.01
1	much	18.01
1	short	11.01
1	phosphatase	2.01
1	impose	6.01
1	divide	10.01
1	twice	15.01
1	even	10.01
1	recoveries	34.01
1	five	10.01
1	preservation	2.01
1	untreatable	8.01
1	equivalence	7.01
1	diminish	4.01
1	delay	29.01
1	splenic	1.01
1	efficacies	19.01
1	precursor	3.01
1	whereabouts	40.01
1	another	9.01
1	portion	8.01
1	began	9.01
1	three	33.01
1	nine	1.01
1	core	1.01
1	rotate	1.01
1	magnification	4.01
1	tail	4.01
1	intravenous	23.01
1	cessation	18.01
1	instance	4.01
1	last	35.01
1	resolvase	11.01
1	next	5.01
1	overlap	1.01
1	sub	33.01
1	longer	9.01
1	driver	1.01
1	pre	155.01
1	tend	1.01
1	plus	6.01
1	return	33.01
1	recover	6.01
1	absent	12.01
1	unaffected	14.01
1	respir	3.01
1	pump	2.01
1	inverse	6.01
1	slight	10.01
1	course	29.01
1	dsem	3.01
1	distort	1.01
1	quantities	1.01
1	nontoxic	3.01
1	though	1.01
1	lethal	29.01
1	half	5.01
1	continua	63.01
1	latent	1.01
1	regimen	14.01
1	euthanasia	17.01
1	prime	9.01
1	salinarius	92.01
1	proven	1.01
1	fact	4.01
1	mtc	3.01
1	entire	16.01
1	patios	1.01
1	occasion	5.01
1	plerixafor	7.01
1	hind	3.01
1	semi	6.01
1	optimum	7.01
1	pig	79.01
1	accomplish	3.01
1	minuta	37.01
1	none	17.01
1	thereafter	9.01
1	judge	2.01
1	prophylactic	4.01
1	sublethal	1.01
1	unchanged	8.01
1	just	10.01
1	feel	1.01
1	vicinal	4.01
1	tremor	1.01
1	harvest	16.01
1	permit	6.01
1	drawn	1.01
1	deteriorate	2.01
1	gross	3.01
1	sacrifice	32.01
1	overt	5.01
1	twelve	2.01
1	infrared	1.01
1	subcutaneous	33.01
1	stereotype	1.01
1	interrupt	1.01
1	aluminum	1.01
1	begun	5.01
1	ndrg	1.01
1	qsu	1.01
1	see	1.01
1	rican	1.01
1	yap	1.01
1	biogenesis	1.01
1	necessitate	1.01
1	natal	9.01
1	rest	3.01
1	became	17.01
1	dye	1.01
1	antidotal	2.01
1	muscular	1.01
1	behind	1.01
1	vomiting	1.01
1	lightdark	1.01
1	rough	3.01
1	pause	4.01
1	frozen	4.01
1	soon	2.01
1	tetrahydropyrimidine	2.01
1	readout	1.01
1	ascendancy	1.01
1	wald	1.01
1	autocrine	1.01
1	dissipate	3.01
1	prevail	1.01
1	remainder	1.01
1	nanohybrid	1.01
1	coincubated	4.01
1	mock	1.01
1	plug	3.01
1	ethyldeoxyguanosine	1.01
1	placement	2.01
1	timepoint	6.01
1	prc	1.01
1	plethysmographic	5.01
1	fifteen	1.01
1	elf	1.01
1	rose	1.01
1	foxa	1.01
1	subway	1.01
1	entrain	2.01
1	tablets	1.01
1	guinea	75.01
1	mucosubstance	1.01
1	endotracheal	5.01
1	sarin	55.01
1	microinstillation	9.01
1	atropine	14.01
1	amb	2.01
1	scopolamine	10.01
1	daba	1.01
1	lct	2.01
1	anesthetic	4.01
1	barometric	2.01
1	wane	1.01
1	tnfaip	1.01
1	alkaloid	1.01
1	mortem	1.01
1	minipump	3.01
1	munger	1.01
1	plcs	1.01
1	subside	4.01
1	tokyo	1.01
1	contemporaneous	1.01
1	piericidin	1.01
1	walker	1.01
1	gpa	1.01
1	γfeo	1.01
1	chernobyl	1.01
1	sorbitol	1.01
1	sunfish	1.01
1	pouch	2.01
1	gre	1.01
1	falpha	2.01
1	lipopeptide	1.01
1	lucencies	2.01
1	µmol	6.01
1	consort	1.01
1	belfast	1.01
1	pavlovian	1.01
1	hbenzene	1.01
1	hcp	1.01
1	postirradiation	6.01
1	intraperitioneal	1.01
1	igkappa	1.01
1	disulfhydryl	1.01
1	sencar	2.01
1	wtpm	3.01
1	dmbacs	2.01
1	prozialeck	1.01
1	malaise	1.01
1	gtt	1.01
1	kunitz	1.01
1	diethylbenzene	1.01
1	weightday	1.01
1	naphthylurea	1.01
1	mnbn	5.01
1	naco	1.01
1	hcnts	1.01
1	approx	1.01
1	mfb	1.01
1	airpuff	1.01
1	mitoq	1.01
1	cdcdvβ	1.01
1	trifluoroethylglycero	1.01
2	simultaneous	6.01
2	observability	2.01
2	larger	5.01
2	efficiencies	9.01
2	engage	6.01
2	response	29.01
2	little	1.01
2	count	7.01
2	translocase	2.01
2	bacteria	9.01
2	oxidant	9.01
2	lack	5.01
2	wild	5.01
2	genome	17.01
2	nucleotidases	7.01
2	explain	4.01
2	meta	1.01
2	initial	1.01
2	although	7.01
2	via	4.01
2	emerge	6.01
2	mrna	8.01
2	select	7.01
2	point	7.01
2	interact	23.01
2	special	8.01
2	properties	7.01
2	engine	3.01
2	understand	2.01
2	spectrum	7.01
2	organ	3.01
2	modifcation	201.01
2	tunable	1.01
2	dynamic	1.01
2	modifiable	86.01
2	affect	8.01
2	specific	35.01
2	assist	5.01
2	bind	15.01
2	mutant	3.01
2	whose	2.01
2	amino	3.01
2	posit	22.01
2	utilisation	1.01
2	exhibit	1.01
2	bias	16.01
2	familial	12.01
2	action	1.01
2	require	1.01
2	derivation	7.01
2	tet	47.01
2	greater	4.01
2	support	8.01
2	view	1.01
2	identifcation	3.01
2	post	78.01
2	constitute	1.01
2	enrich	3.01
2	disorder	1.01
2	translatability	172.01
2	synthetase	37.01
2	har	18.01
2	link	10.01
2	format	1.01
2	near	1.01
2	end	4.01
2	bin	1.01
2	throughout	1.01
2	variable	6.01
2	mammalian	11.01
2	discoveries	5.01
2	later	1.01
2	highlight	3.01
2	pair	10.01
2	led	6.01
2	adjacent	6.01
2	undergo	2.01
2	code	16.01
2	purification	9.01
2	cognate	14.01
2	stall	1.01
2	arsenite	1.01
2	content	1.01
2	fresh	1.01
2	optima	8.01
2	latter	1.01
2	mutat	1.01
2	catalyze	14.01
2	wise	1.01
2	place	2.01
2	shotgun	1.01
2	frame	1.01
2	faithful	4.01
2	terminus	3.01
2	methyltransferase	11.01
2	methionine	4.01
2	threonyl	5.01
2	convert	6.01
2	whi	2.01
2	avail	1.01
2	literature	1.01
2	stable	1.01
2	saccharomyces	5.01
2	ten	11.01
2	expand	5.01
2	another	6.01
2	mrnas	6.01
2	database	1.01
2	concert	1.01
2	switch	9.01
2	fidelities	4.01
2	illustrate	6.01
2	rna	7.01
2	distinguish	1.01
2	mammal	3.01
2	homolog	2.01
2	nucleoside	11.01
2	plasmodium	1.01
2	read	6.01
2	dictate	1.01
2	congruent	1.01
2	demethylase	16.01
2	cytosine	19.01
2	imprint	1.01
2	trm	13.01
2	trna	126.01
2	codon	86.01
2	anticodon	11.01
2	wobble	16.01
2	uridine	5.01
2	trmδ	4.01
2	reengineer	3.01
2	arginine	2.01
2	methoxycarbonylmethyluridine	2.01
2	mcm	6.01
2	methoxycarbonylmethyl	1.01
2	thiouridine	1.01
2	rapamycin	1.01
2	inert	1.01
2	usage	10.01
2	eleven	11.01
2	eukaryote	5.01
2	fourth	2.01
2	paralogue	2.01
2	ribosomal	13.01
2	methylcytosine	38.01
2	built	1.01
2	euryarchaea	1.01
2	hypersensitive	1.01
2	triple	3.01
2	eif	2.01
2	orthogonal	2.01
2	trnas	17.01
2	reprogram	9.01
2	ribonucleoside	18.01
2	ttg	3.01
2	rpla	2.01
2	unenriched	1.01
2	consequential	2.01
2	machineries	2.01
2	bacteriophage	3.01
2	caveat	1.01
2	cac	21.01
2	hydroxylanisole	1.01
2	decode	6.01
2	stop	10.01
2	addicted	1.01
2	hydroxymethyl	14.01
2	nanospray	1.01
2	nucleolin	2.01
2	dioxygenase	6.01
2	formyl	1.01
2	daughter	3.01
2	hamper	1.01
2	submit	1.01
2	repressor	3.01
2	hydroxymethylcytosine	30.01
2	hmc	58.01
2	tab	1.01
2	coprecipitate	1.01
2	dysgenesis	3.01
2	dopa	1.01
2	glucosyltransferase	1.01
2	sinus	1.01
2	readout	1.01
2	behave	2.01
2	equivocal	1.01
2	cro	10.01
2	suboptimal	1.01
2	hypochlorite	1.01
2	abh	7.01
2	rpl	19.01
2	takagi	1.01
2	absalon	1.01
2	kastan	2.01
2	ncl	16.01
2	archaea	2.01
2	dml	4.01
2	histidyl	4.01
2	quadruple	2.01
2	mineable	1.01
2	tetr	7.01
2	mth	1.01
2	isoleucine	12.01
2	methytransferases	1.01
2	trms	4.01
2	oncomine	1.01
2	borrelidin	10.01
2	antimalarial	3.01
2	thrrs	4.01
2	thrrss	1.01
2	aminoacyl	11.01
2	everything	2.01
2	hoechst	1.01
2	forthcoming	1.01
2	tar	10.01
2	pts	1.01
2	cga	3.01
2	pronucleus	3.01
2	phosphorothioate	4.01
2	physiochemical	1.01
2	twitch	1.01
2	psq	2.01
2	eifg	7.01
2	parghis	4.01
2	palaval	3.01
2	glcnac	1.01
2	sixth	2.01
2	dihydropterin	1.01
2	pvl	3.01
2	cannabidiol	1.01
2	formylcytosine	7.01
2	carboxylcytosine	9.01
2	aga	1.01
2	methylmethane	2.01
2	undiscovered	1.01
2	eubacteria	1.01
2	dimethyladenosine	2.01
2	bacille	1.01
2	guérin	1.01
2	bcg	6.01
2	dme	7.01
2	nusg	1.01
2	haloarcula	3.01
2	marismortui	4.01
2	rimk	1.01
2	lin	6.01
2	hbg	1.01
2	perrault	5.01
2	nonconsanguineous	1.01
2	plv	4.01
2	histydyl	2.01
2	motts	3.01
2	goldblatt	1.01
2	tdmz	1.01
2	erasure	2.01
2	pronuclear	1.01
2	aug	4.01
2	meningococcal	5.01
2	yoelii	1.01
2	melanomagenecity	1.01
2	scutellaria	1.01
2	await	1.01
2	demetalate	4.01
2	methylcarboxymethyl	1.01
2	mcmu	6.01
2	blastp	1.01
2	postsynthetic	1.01
2	teto	1.01
2	bioengineered	1.01
2	myofibrillar	1.01
2	honey	3.01
2	dptf	1.01
2	gcac	1.01
2	dnd	1.01
2	dndf	3.01
2	cyclitrophicus	1.01
2	gpsaac	1.01
2	mdmcf	3.01
2	noncognate	1.01
2	propargyloxylactic	1.01
2	prompter	1.01
2	hmedip	1.01
2	sard	1.01
2	cyanomethyl	3.01
2	haloarchaeal	1.01
2	aua	4.01
2	trnaile	2.01
2	haloferax	1.01
2	volcanii	1.01
2	auu	1.01
2	misreading	1.01
2	crenarchaea	1.01
2	duons	3.01
2	kop	1.01
2	intranucleobase	1.01
2	sequenase	1.01
2	benzylmethylnitrosamine	1.01
2	dcgcgaattygcg	1.01
2	isopentenyl	1.01
2	isopentenyltransferases	1.01
2	tit	5.01
2	trnatyr	1.01
2	trnasersec	1.01
2	hmdc	5.01
2	fodc	5.01
2	cadc	5.01
2	hmdu	5.01
2	interdicting	1.01
2	narj	1.01
2	htrml	7.01
3	detect	24.01
3	correlate	64.01
3	address	9.01
3	movement	5.01
3	six	4.01
3	size	4.01
3	observability	33.01
3	comparability	2.01
3	larger	7.01
3	smaller	11.01
3	factor	2.01
3	comparison	10.01
3	create	6.01
3	citizen	1.01
3	local	336.01
3	diameter	2.01
3	enhance	1.01
3	common	13.01
3	depend	2.01
3	inject	7.01
3	lack	4.01
3	isolable	2.01
3	describable	3.01
3	quantifiable	22.01
3	single	63.01
3	within	273.01
3	mix	8.01
3	contain	28.01
3	order	9.01
3	analyze	36.01
3	initial	31.01
3	produce	21.01
3	robust	4.01
3	late	9.01
3	indicate	35.01
3	small	1.01
3	via	5.01
3	inconsistencies	3.01
3	determinant	12.01
3	point	28.01
3	furthermore	20.01
3	bronchial	1.01
3	moreover	6.01
3	distribute	188.01
3	phase	7.01
3	understand	5.01
3	connect	17.01
3	various	46.01
3	dynamic	31.01
3	accord	4.01
3	area	30.01
3	specific	94.01
3	inform	23.01
3	manner	10.01
3	implicate	5.01
3	interest	10.01
3	network	16.01
3	posit	22.01
3	exist	16.01
3	beyond	8.01
3	element	5.01
3	context	1.01
3	rather	11.01
3	domain	14.01
3	limit	12.01
3	main	13.01
3	favor	9.01
3	final	9.01
3	like	1.01
3	central	6.01
3	region	252.01
3	bias	10.01
3	require	20.01
3	appear	25.01
3	structural	85.01
3	form	57.01
3	conclude	13.01
3	broad	4.01
3	carriage	6.01
3	pattern	106.01
3	cluster	37.01
3	immediate	1.01
3	together	18.01
3	oral	16.01
3	receive	4.01
3	close	47.01
3	enrich	6.01
3	evolve	3.01
3	clear	10.01
3	toward	13.01
3	relationship	1.01
3	narrow	3.01
3	agreement	5.01
3	locate	93.01
3	heterogeneities	13.01
3	perturb	28.01
3	stage	20.01
3	occur	44.01
3	reflect	1.01
3	fundamental	9.01
3	length	9.01
3	longitudinal	7.01
3	throughout	29.01
3	embryo	9.01
3	surround	19.01
3	tight	8.01
3	later	19.01
3	internal	1.01
3	class	1.01
3	restrict	20.01
3	frequent	11.01
3	densities	17.01
3	less	13.01
3	maturation	4.01
3	insight	13.01
3	minor	6.01
3	side	13.01
3	transductin	1.01
3	intrinsic	5.01
3	adjacent	39.01
3	normal	14.01
3	extension	5.01
3	correspond	26.01
3	along	68.01
3	precise	22.01
3	proximal	48.01
3	serial	13.01
3	outer	13.01
3	demand	7.01
3	axial	41.01
3	primarily	9.01
3	visual	4.01
3	isomerase	1.01
3	pro	1.01
3	stabilisation	1.01
3	proposal	16.01
3	space	31.01
3	place	3.01
3	feedback	13.01
3	begin	8.01
3	dorsal	14.01
3	often	2.01
3	retention	5.01
3	uniform	26.01
3	aside	1.01
3	sufficiency	1.01
3	feature	26.01
3	rich	14.01
3	secondarily	23.01
3	impedance	7.01
3	arise	9.01
3	asymmetric	56.01
3	left	30.01
3	dimension	57.01
3	branch	33.01
3	divide	16.01
3	green	1.01
3	prospect	3.01
3	stratification	3.01
3	even	23.01
3	configuration	5.01
3	temporal	77.01
3	around	9.01
3	diffuse	1.01
3	white	1.01
3	greatest	5.01
3	abundance	1.01
3	instead	8.01
3	discord	7.01
3	concordance	5.01
3	whereabouts	23.01
3	tract	26.01
3	portion	16.01
3	scan	36.01
3	three	16.01
3	opposite	8.01
3	procedural	1.01
3	orient	6.01
3	compact	1.01
3	mid	3.01
3	conceptual	1.01
3	band	1.01
3	avian	7.01
3	caudal	2.01
3	dominance	7.01
3	overlap	9.01
3	segment	69.01
3	fair	4.01
3	tree	29.01
3	nonmutagenic	1.01
3	serious	1.01
3	ideal	1.01
3	zygote	4.01
3	overcome	2.01
3	iii	9.01
3	sea	12.01
3	radial	19.01
3	exit	5.01
3	symmetric	16.01
3	absent	8.01
3	predominance	27.01
3	precede	1.01
3	hysteresis	2.01
3	hydrodynamic	2.01
3	spatial	139.01
3	reconstruct	7.01
3	homogenate	8.01
3	anatomic	11.01
3	outside	22.01
3	disparate	4.01
3	inner	33.01
3	device	1.01
3	monoxide	1.01
3	anisotropic	2.01
3	width	7.01
3	collapse	1.01
3	arm	16.01
3	distal	46.01
3	former	1.01
3	constrict	1.01
3	half	2.01
3	skew	4.01
3	distance	13.01
3	sharp	6.01
3	raise	7.01
3	scientific	3.01
3	confine	19.01
3	tubular	3.01
3	fact	1.01
3	patch	3.01
3	entire	15.01
3	fourth	4.01
3	finite	4.01
3	lumen	1.01
3	ensue	6.01
3	microbial	1.01
3	reservoir	5.01
3	curvature	22.01
3	just	2.01
3	spread	17.01
3	input	5.01
3	hotspot	5.01
3	span	13.01
3	neuromuscular	3.01
3	ventral	12.01
3	incompatibilities	3.01
3	vicinal	10.01
3	ohio	4.01
3	gradient	50.01
3	always	5.01
3	entorhinal	1.01
3	redistribute	14.01
3	contiguity	5.01
3	discern	5.01
3	mosaic	1.01
3	lpp	1.01
3	loop	16.01
3	middle	5.01
3	biometric	1.01
3	fruit	1.01
3	interrupt	1.01
3	duct	1.01
3	constant	12.01
3	paradox	1.01
3	zeta	1.01
3	oogenesis	4.01
3	entrance	1.01
3	hence	12.01
3	descend	10.01
3	peripherin	9.01
3	bifurcate	15.01
3	waveform	7.01
3	uneven	4.01
3	arrange	1.01
3	chemoprotection	1.01
3	ectoderm	4.01
3	straight	3.01
3	boundaries	40.01
3	simpler	6.01
3	perinuclear	2.01
3	equatorial	2.01
3	dorso	1.01
3	hemisphere	5.01
3	soon	3.01
3	remember	1.01
3	ascendancy	5.01
3	francisco	2.01
3	coexist	1.01
3	commit	1.01
3	crem	1.01
3	stripe	7.01
3	photobleaching	1.01
3	mantle	5.01
3	fourfold	1.01
3	sudden	1.01
3	neuroactive	2.01
3	enforce	1.01
3	hilar	2.01
3	nhks	1.01
3	isotropic	7.01
3	sulfite	1.01
3	mysteries	1.01
3	hamilton	1.01
3	refractionation	2.01
3	seventeen	1.01
3	microliter	1.01
3	entrain	1.01
3	nodal	34.01
3	morans	1.01
3	lamellae	1.01
3	enu	1.01
3	wrap	1.01
3	mitotracker	1.01
3	bend	3.01
3	tetrahedra	1.01
3	oligo	1.01
3	paradigmatic	1.01
3	blastula	5.01
3	hierarchic	1.01
3	inhomogeneities	4.01
3	sheath	5.01
3	heritage	1.01
3	girdle	1.01
3	epigenesis	2.01
3	blastomere	1.01
3	subtelomere	1.01
3	leftward	2.01
3	semantic	1.01
3	mann	1.01
3	whitney	1.01
3	nrs	1.01
3	orthonormal	1.01
3	anteroposterior	3.01
3	geospatial	2.01
3	door	1.01
3	pursuit	1.01
3	reposition	1.01
3	circumscribed	1.01
3	navier	2.01
3	urchin	8.01
3	aboral	11.01
3	biogeographic	1.01
3	adelges	1.01
3	tsugae	1.01
3	dimethylthiobutanoylhydroxysuccinimide	1.01
3	butare	1.01
3	rwanda	1.01
3	periurban	1.01
3	lsbp	8.01
3	cobra	1.01
3	foregut	1.01
3	dtls	1.01
3	antidiuretic	1.01
3	venkiteswaran	1.01
3	quantal	1.01
3	row	5.01
3	cancelation	1.01
3	teleological	1.01
3	antrum	1.01
3	overlearned	1.01
3	gammaenac	1.01
3	pectate	1.01
3	biocycle	1.01
3	homopolymer	1.01
3	kcl	1.01
3	tryptophanyl	1.01
3	aquasol	1.01
3	mesoscale	3.01
3	spongiform	1.01
3	dislocation	1.01
3	terraced	1.01
3	macroorganisms	1.01
3	carina	2.01
3	strongylocentrotus	1.01
3	purpuratus	1.01
3	hoxd	1.01
3	phosphopantetheine	1.01
3	zonal	1.01
3	sncar	1.01
3	fluorochrome	1.01
3	piercing	1.01
3	hpi	1.01
3	barx	1.01
3	antimesometrial	1.01
3	cyclohexadepsipeptide	1.01
3	elavl	1.01
3	coc	2.01
3	hivep	1.01
3	eifb	1.01
3	semipurified	1.01
3	eit	8.01
3	xect	4.01
3	nonexpressing	1.01
