ID	Alpha	Terms
53	0.0125	genet phenotype variant trait variate heritabilities rare disease individual identifiability twin common genotype complex genome explain causal determinant variable sequence 
54	0.0125	model method data approach proposal regress error simulant measurable covariables likelihood parameter set multiple case appliances efficiencies general design distribute 
55	0.0125	resist inhibitor sensitisation target drug therapies line acquire trail response inhibit combination protect constitute patient endogenous confer reduce therapeutic model 
56	0.0125	function lung wtc fev trade volume center world force subject capacitance asthmatic spirometric decline fvc symptom chronic measurable cfs obstruct 
57	0.0125	reductanct oxidant iron reduce degradability tce reactivant condition reaction electrode system removable anode contaminant cathode electrochemical feiii solute current transform 
58	0.0125	development expose offspring adult develop prenatal postnatal alter gestating life pnd mice maternal utero female perinatal dose dam adulthood age 
59	0.0125	pollutant air ambient health traffic qualities term risk level dioxide nitrogen adverse ozonated matter link urban epidemiologic mortal measurable morbid 
60	0.0125	dna rad replica recombinant rpa fork ssdna strand helicase complex repair homolog function interact bind damage mediate single structural filament 
61	0.0125	degradability ubiquitin proteasomal stabilisation ligase mediate inhibit demonstrable function complex usp rnf pathway inhibitor interact cellular enzymatic level target involve 
62	0.0125	review discuss disease current understand will develop focus future advance maniculatus decadal challenge need summaries field emerge past technologic consider 
63	0.0125	parp dna repair xrcc ribose polyadp polymerase mms alkyl agent damage adp methyl mgmt inhibit inhibitor ber ribosyl lig par 
64	0.0125	human model mouse anima rodent develop primarily line disease special mice demonstrable vivo establish relevance utilisation derivation assess data system 
65	0.0125	diesel exhaust dep particle emission engine inhalability fuel pollutant air indicate matter gasoline expose nep biodiesel composite component tslp comparability 
66	0.0125	risk case odd interval confidence regress logistic age factor data comparability model observability match individual analysable author conduct sex statist 
67	0.0125	surface microscopic electron force structural transmissibility morphologic scan observability spectroscopic presence atom transfer tem length thick afm character image resolution 
68	0.0125	synthesis curcumin syntheses derivation reaction yield synthetase precursor couple natural via structural compound describable modifiable cyclization preparation serial ester give 
69	0.0125	mmp emt collagen matrix transit mesenchymal epithelia invasibility metalloproteinase timp cadherin ccn phenotype mediate snail slug migratable like twist human 
70	0.0125	tumor growth cancer inhibit target suppress human proliferate function knockdown line level overexpress mediate suppressor pathway oncogen depend transcript factor 
71	0.0125	transport mrp uptake efflux organ drug slca resist multidrug abc substrata abcg disposition membrane function mdr mediate atp anion bcrp 
72	0.0125	dna oxidant repair lesion oxog damage glycosylase ogg excise oxo neil ber aag oxoguanine strand human initial oxodg dihydro genome 
73	0.0125	liver hepatectomy hcc hepatocyte hepatocellular carcinoma hcv develop hbv virus hepg chronic infect cirrhosis factor den regenerability primarily specific tumor 
74	0.0125	american white ethnic african hispanic race racial black native disparate factor risk minor mexican north women caucasian comparability latina determinant 
75	0.0125	killifish mpo fundulus heteroclitus fish resist atlanta response contaminant refer bnf embryo nbh level myeloperoxidase toxic adapt pollutant comparability inducted 
76	0.0125	ischemia oil stroke reperfused ceramidase infarct injuries myocardial protect cer sphingolipid spill ischaemia acuta horizon deepwater sphingosine level model elev 
77	0.0125	stem marrow bone progenitor hematopoietic hscs mice derivation function vivo proliferate number hsc hematopoiesis transplant vitro differentiability reconstitute term myeloid 
78	0.0125	hormonal gnrh pituitaries prl endometriosis secret gonadotropin pubertal prolactin level onset reproduction releasable hypothalami female girl axial gland develop response 
79	0.0125	matrix extracellular adhesin migratable ecm integrin collagen focal laminin fak structural substrata organ cellular stiff motile interact epithelia surface polar 
80	0.0125	aureus resist antibiotic cyanobacteria isolable porphyrin staphylococcus abcb microcystin mrsa strain produce opn marin bacteria methicillin pmn antimicrobial freshwater infect 
81	0.0125	carbon nanotube wall mwcnt graphene single mwcnts cnts function nanomaterial swcnt cnt multi swcnts properties multiwall swnts carboxyl material surface 
82	0.0125	children health status socioeconomic adult adolescence level age school young neighborhood parent factor child educate childhood life ses communities risk 
83	0.0125	loss term within rapid short occur condition even toward causal lack conversation although initial describable reach like veridical persist appear 
84	0.0125	blood pressure hypertension arterial flow red systolic rbc storage diastole elev rbcs cardiovascular measurable store hemoglobin mmhg reductanct vessel adult 
85	0.0125	alcohol ethanol liver nash disease hepatectomy nafld nonalcoholic steatohepatitic steatosis metabolic progress consumption model alter ald stage causal drink develop 
86	0.0125	memorial learn behavior impair deficit cognitin test perform maze spatial rat response task brain function condition hippocampal water neurobehavior assess 
87	0.0125	kinase phosphoryl erk pathway akt inhibit mediate ser pik inhibitor mapk stimulant depend factor target phospho serine mek src mitogen 
88	0.0125	autophagic sirt ampk response cellular sirtuin inhibit deacetylase depend stress mediate beclin senesce lysosomal nad metabolic pathway atg foxo degradability 
89	0.0125	copper plk element like aquatic lake polo food growth trace terrestrial dithiocarbamate stream phosphorus accumulate within δhg determinant across zooplankton 
90	0.0125	mice deficiencies mouse wild null loss function reduce delete model develop vivo knockout specific transgender comparability phenotype generate level impair 
91	0.0125	fish level ppb turtle contaminant egg reproduction expose minnow special feather perchlorate vitellogenin gonad bass largemouth fathead aquatic bird gull 
92	0.0125	transcript bind factor element response repress mediate depend human demonstrable region enhance function assay target dna level interact identifiability transactivate 
93	0.0125	data disease database tool integrability inform resource avail biolog curate set genome annotate visual ctd track public interact http toxicogenome 
94	0.0125	barrier junction function claudin epithelia tight permeable disrupt opioid alter integrability aec morphinan tic structural cldn loss alveolar ighrr dmt 
95	0.0125	special conservation genome evolution sequence evolutionarily vertebra function homolog origin identifiability diverge comparability organ specific diverse phylogenetic across adapt mammal 
96	0.0125	granular cerebellar purkinje cerebellum migratable ctip sca layer essential tremor turn develop dsg medulloblastoma alter differentiability ataxin ataxia brain exhibit 
97	0.0125	tranexamic cis hydrolase meh epoxidase sorafenib fold bdo pin diol like substrata demonstrable isomer insect enzymatic play juvenile hormonal neuroligin 
98	0.0125	extract contain test material comparability efficiencies fluid identifiability compound laboratories produce common artificial opa total assay field evaluable digest much 
99	0.0125	muscle smooth skeletal asm proliferate vascular differentiability vsmc alter contract fiber reduce actin contractile vsmcs remodel migratable function addition camkiiδ 
100	0.0125	phosphatase pten trp insp inositol pyr phe kinase tryptophan nap warfarin ppipk tensin patch ptdinsp nfk pyrophosphatase homolog polyphosphate complex 
101	0.0125	plant rice poplar whole grain gstz root dca biotransform berberine total switchgrass complete mass olestra maai flood phytoremediation leave translocase 
102	0.0125	metal cadmium manganese toxic lead heavier level copper arsenic zinc iron metallothionein mercurial expose neurotoxic divalent chelate element essential chromium 
103	0.0125	monkey primate month rhesus anima develop expose infant age number macaque nonhuman human growth alter life posit postnatal house chronic 
104	0.0125	food intake consumption diet vegetable consumable fruit fast meat energies beverage eat pattern total environ nutrition store avail fat frequencies 
105	0.0125	test data method power statist approach design detect simulant proposal size procedural inform appliances set multiple fals perform demonstrable computable 
106	0.0125	brain neuron region cortex hippocampus injuries cortical cerebral adult function frontal tbi glial neurogenesis hippocampal matter nervous specific white neurologic 
107	0.0125	complex mitochondria cytochrome assemblage electron iii function chain dehydrogenase inhibit sdh format succinamate cco transport oxidase transfer subunit biogenesis contain 
108	0.0125	interact environ genet case test parent factor online design independence origin genotype complex joint power combination main epistasis multiple detect 
109	0.0125	asthma children childhood allergen wheeze allergic pediatr symptom ige cities factor risk develop sensitisation age cohort asthmatic urban morbid atopic 
110	0.0125	don deoxynivalenol mycotoxin trichothecene food ribosomal toxin oral translatability respect pkr cck taken cereal mouse emesis known common chartarum anima 
111	0.0125	nag drug anti inflammatories sulindac statin nsaid aspirin nonsteroid dbm atorvastatin celecoxib tamoxifen sulfidated independence reduce odc steroid ilc ibuprofen 
112	0.0125	pesticide agricultural applicability pyrethroid insecticidal metabolite organophosphatases farm health chlorpyrifos permethrin risk residential common farmer assess herbicidal detect spray dap 
113	0.0125	injuries acuta chlorinate lung gas syndrome mortal inhalability ardea sepsis develop distress ali causal lead chronic edema expose toxic death 
114	0.0125	dim sulforaphane sfn indol chemopreventative isothiocyanate broccoli vegetable crucifer peitc sprout agent cancer carbinol supplement compound itc derivation rich diindolylmethane 
115	0.0125	mixture combination addition toxic voc compound mix alone individual complex single synergist component test three agent toluene interact assess depend 
116	0.0125	nuclear local cytoplasm translocase nucleus subcellular accumulate compartment fraction nuclei demonstrable cytosol export microtubule intracellular interact plasmid mediate trafficked presence 
117	0.0125	mediate derivation lipid arachidonate oxo hete eicosanoid metabolite lipoxygenase lox metabolic hydroxide linoleate oxylipin format oxidant ete level epoxidase hydroperoxidase 
118	0.0125	proliferate receptor peroxisomal pparγ ppar ligand ppargamma differentiability zip znf pparalpha pparα rosiglitazone agonist transcript target independence mediate act nuclear 
119	0.0125	rat dose mice oral male administrated female liver gavage administer toxic bcf pharmacokinetic observability weight week ppm blood incidence expose 
120	0.0125	water beach sand fecal enterococci indicate recreate human pathogen source qualities marin level bacteria detect contaminant health microbial ill evaluable 
121	0.0125	zinc coli escherichia finger antibiotic deficiencies zip sensitisation transport bacteria supplement mutant strain znt require function addition indicate single nusa 
122	0.0125	nqo quinone oxidoreductase protect ebpα hydroquinone reductanct nadphquinone toxic format ikaros inhibit nadph demonstrable naphthoquinone led cyclam aminochrome semiquinone enzymatic 
123	0.0125	iron wnt catenin deficiencies pathway ferritin transferrin anemia wnta like status tfr canonical level hfe tcf load lef homeostasis belgrade 
124	0.0125	proteome identifiability gel mass abundance electrophoresis fraction quantitate western spectrometric band blot label identifcation differentiability separable sds dimension page confirm 
125	0.0125	gastric pylori infect helicobacter adenocarcinoma esophageal lesion cancer stomach gastritis gas dysplasia evaluable carcinogenesis risk esophagus biliary colon eac mpi 
126	0.0125	inflammatories lps cytokine tnf inflammagen response factor macrophage anti mediate kappab necrosis pro interleukin lipopolysaccharide releasable tumor stimulant inhibit level 
127	0.0125	lysosomal cathepsin membrane trafficked endosomal intracellular endocytosis vesicle internal lamp contain trpml transport mediate releasable exosomal storage hipk simple plasma 
128	0.0125	nat arf phip meat pinka cho carcinogen aminated acetyl cook amino hamster slow human agd chinese acetyltransferase level natb transfect 
129	0.0125	leukemia childhood acuta lymphoblast gln risk myeloid aml glu gata infect children case etiologic california fumonisin glutaminase life hispanic known 
130	0.0125	stress reticulum endoplasmatic mtor rapamycin response mtorc atf upr pathway chop unfold tsc mammalian target kinase grp inhibit chaperon perk 
131	0.0125	neonatal hyperoxia lung adult injuries oxygen develop infant expose newborn alveolar premature rat air bpd inflammagen room attenuate susceptibilities model 
132	0.0125	ddt dde persist organ atrazine organochlorinated swine operability dieldrin pollutant pesticide pop ocp feed cafo compound anima hcb dichlorodiphenyltrichloroethane dichlorodiphenyldichloroethylene 
133	0.0125	domain bind interact terminal function structural residual complex region contain dimer amino motif conservation subunit mutat require affine identifiability form 
134	0.0125	disease neurodegeneration synuclein neuron syn parkinson aggregate tdp model mutat pathologic accumulate disorder human causal form pathogenesis transgender progress link 
135	0.0125	number copied genome delete human cnvs event duplicate region amplifiable cnv frequencies variate identifiability genet detect rare chromosomal loss largazole 
136	0.0125	season area urban trend region pattern spatial source rural level variate deposit locate cities data winter summer temporal across average 
137	0.0125	urinalysis level biomarker creatinine excreta dermal measurable metabolite worker hdi hda inhalability subject assess range variable bodies work detect hexamethylene 
138	0.0125	lung mice inflammagen alveolar expose macrophage injuries lavagable response inflammatories fluid inhalability bronchoalveolar neutrophil bal instillation comparability epithelia model balf 
139	0.0125	sediment water contaminant organ source river gulf bioaccumulate surface marin ecosystem dissolvable bioavailability ocean food field passivate coastal web bay 
140	0.0125	pcb pcbs biphenyl polychlorinated congener like contaminant aroclor expose chiral coplanar atropisomer enantioselection pollutant hydroxyl mixture persist chlorinate serum enrich 
141	0.0125	atm dna phosphoryl damage checkpoint response atr chk kinase hax ataxia ser telangiectasia replica function depend mediate ddr stabilisation mutat 
142	0.0125	dose response depend level data threshold relationship risk ppm assess dbc observability expose curvature benchmark manner limit potencies relevance determinant 
143	0.0125	transform nickel human epithelia malign carcinogen bea carcinogenesis line bronchial chronic mmaiii immortal cancer urotsa lung expose independence normal occur 
144	0.0125	tumour pas gper maec aldosterone para aminosalicylic siglec ppa rex fti set acetyl acpas pmfs farnesyl lovastatin pdrg asb okadaic 
145	0.0125	hiv infect virus human tat reversal viral immunodeficiency alk transcriptase tgfbeta antiretroviral retrovirus drug nevirapine restrict transmissibility endogenous data gvt 
146	0.0125	children lead cognitin age test function prenatal develop neurobehavior blood level perform score deficit behavior childhood neurodevelopment child motor assess 
147	0.0125	repeat expansa exhalation feno ebc hairpin nitric oxidant sequence tract breath cag tnr trinucleotide fraction ctg biomarker condensate format airway 
148	0.0125	measurable correlate variable assess reliable valid questionnaire coefficient individual range three within model term participant month biomarker mean reproduce person 
149	0.0125	intestinal colon gut disease inflammagen infect bowel gastrointestinal colitic microbiota bacteria tract model mice inflammatories helicobacter host chronic develop small 
150	0.0125	indoor air outdoor person measurable source ambient level monitor home cities matter sampler residential airborne factor reside character season health 
151	0.0125	airway epithelia lung human epithelium bronchial dust disease organ inhalability response normal injuries ode chronic expose primarily mucin model mucac 
152	0.0125	inflammasome nlrp mcs nod host depend macrophage caspase complex albicans asc mediate aim pro play secret trigger response interleukin card 
153	0.0125	hla beryllium disease cbd chronic pma bes specific lung granulomatous hypersensitive sensitisation response apc antigen sarcoidosis chain stimulant phorbol class 
154	0.0125	develop hedgehog pathway format organ shh external genital differentiability factor development gli function limb embryonal embryo mouse pattern genitalia specific 
155	0.0125	secondarily emission aerosol organ primarily atmosphere soa source plant isoprenaline scenario toxicologic evaluable power chamber compound oxidant particle response sim 
156	0.0125	worker farmwork work occup north carolina latino job workplace migrant condition health employ house hazard train characteristic agricultural mdig farm 
157	0.0125	autism disorder asd spectrum children risk neurodevelopment schizophrenia development genet develop maternal syndrome behavior mecp factor case etiologic typical delay 
158	0.0125	metabolic pathway glucosamidase metabolome metabolite enzymatic energies glycolysis pyruvate atp biosynthesis involve level dehydrogenase cyclam amino acetyl biochem lipid oxidant 
159	0.0125	rat thyroid level hormonal treat dawley sprague serum dose comparability male reduce inject anima thyroxin data tsh respect wistar function 
160	0.0125	global countries prevalence malaria burden africa world cost disease puerto china historians south parasitaemia east america region people asia million 
161	0.0125	blood level peripheral plasma subject lymphocyte human mononuclear correlate comparability healthicization leukocyte measurable whole determinant circular pbmc analyze affect online 
162	0.0125	vascular eno arterial response coronaries endothelia relax angiotensin depend vasodilatation adenosine ang impair oxidant endothelium dilatation nitric mediate aortic infused 
163	0.0125	sperm male fertile motile infertile men semen qualities epididymal reproduction morphologic epididymides spermatozoa parameter maturation mouse count clinic yap oocyte 
164	0.0125	sequence genome generate region seq read map dna whole next assemblage method single data technologic resolution code bisulfite integrability enrich 
165	0.0125	bmp parkin mef mefd uranium pink factor bone thia smf morphogenetic fpn pili reduce spp pdr enhance bmpra consist conduct 
166	0.0125	tcdd dioxin tetrachlorodibenzo ahr receptor hydrocarbon aryl differentiability toxic alter inducted elicit response disrupt transcript like mediate contaminant impair ligand 
167	0.0125	akrc reductase enzymatic steroid akr keto reductanct aldo akrd metabolic dehydrogenase human hormonal hydroxysteroid hsd reduce inhibitor ketosteroid catalyze testosterone 
168	0.0125	endocrine disrupt edc reproduction disruptor hormonal alter neuroendocrine adam develop system estrogen development hypothalamus hypothalami nucleus receptor sexual function interfere 
169	0.0125	defect cleft birth congenita risk neural maternal tube heart ntds pregnancies palatability offspring ntd lip malformation prevent case mother anomalies 
170	0.0125	glioma vector glioblastoma target human gbm transductin aav primarily efficiencies ndrg transfer raav virus transduce deliveries transfect therapies polar viral 
171	0.0125	estrogen receptor estradiol aromatase eralpha hormonal esr mcf response erbeta proliferate growth tamoxifen xenoestrogen rat depend ici tam estrone androgen 
172	0.0125	toxin toxic cav stx isolable face produce sensitisation virulence culturable dinoflagellate aurora properties part elicit ptx anthrax cholera pathogen online 
173	0.0125	macrophage tlr immune response receptor neutrophil inflammatories innate inflammagen mediate like chemokine cytokine toll depend cxcl recruit monocyte ccl mice 
174	0.0125	ros reactivant oxygen special generate oxidant nox oxidase nadph stress antioxidant catalase mediate level superoxidase enzymatic cellular redox intracellular causal 
175	0.0125	quantum dot soc qds mdsc mdscs sparc alga plastid suppressor zns marijuana derivation accumulate algal green intron qdot cdse diatom 
176	0.0125	eye retina lend contact pigment corneal determinant ocular dnb crystallin epithelia loss irritability color lead posterior pcs rpe phototoxic cornea 
177	0.0125	bile fxr liver mice bas null intestinal serum cholestasis transport hepatectomy receptor bsep oatpa farnesoid ostα cholesterol dca salt ostβ 
178	0.0125	heart cardiac ventricular function cardiomyocyte hypertrophic failure myocardial cardiovascular left myocyte arrhythmia dysfunction remodel normal contractile cardiomyopathic adult coronaries hrv 
179	0.0125	level observability support data reduce test hypothesis indicate condition online comparability initial consist greater explain experience stage less addition occur 
180	0.0125	health care survey medic inform reside participant risk perceptible household impact interview respond experience communities concern assess behavior like intervention 
181	0.0125	biolog molecular understand function complex review organ system develop will approach discuss structural advance model pathway insight maniculatus technologic cellular 
182	0.0125	patient clinic survivability tumor predict recurred correlate prognostic disease stage poor prognosis evaluable identifiability predictor treat independence improve therapies common 
183	0.0125	women risk men health cohort prospect age incidence factor postmenopausal menopausal largazole nurse comparability menarche baseline hazard historians older pre 
184	0.0125	gsh glutathion gclm oxidant level cystein stress deplete nac antioxidant synthesis glutamate subunit gcl ligase gclc enzymatic modifiable intracellular protect 
185	0.0125	circadian clock light rhythm per bmal melatonin night dark molecular cyclam disrupt oscillate rhythmic shift crick phase behavior core npas 
186	0.0125	receptor agonist antagonist mediate glucocorticoid inhibit stimulant response releasable block couple ligand act depend select via action muscarinic vivo physiologic 
187	0.0125	african ancestries genome american loci identifiability european genet variant risk meta individual region susceptibilities admixture addition locus evidence replica gwas 
188	0.0125	culturable medium condition primarily growth vitro model vivo line media human three grown system dimension physiologic isolable secret environ oxygen 
189	0.0125	cftr cystic fibrosing glis conduct chloride ferret disease butyrate transmembranal primarily pkd pig function dmps cilia gland secret epithelia mutat 
190	0.0125	stat jak transduce ptp diacetyl response shp torsina transcript bmf effector nek isg soc dystonia phf pkcε dmso disease prevent 
191	0.0125	conjugacy plasmid ebv lyase hocl reaction cystein barr epstein lmp ebna chain reactivant virus keto side msc generate catalyze msp 
192	0.0125	adipose adipocyte metabolic adipogenesis obese insulin fat lipid differentiability resist specific human viscera accumulate white preadipocyte inflammagen enhance energies depot 
193	0.0125	senesce ercc icl fancd xpf pathway repair retinoblastoma age defect fibroblast cpt cellular progeroid syndrome replica anemia deficiencies fanconi dna 
194	0.0125	antibodies anti igg specific calpain autoantibodies serum antigen detect epitope reactivant monoclonal immunoglobulin recognise immune level mab cross titer determinant 
195	0.0125	phthalate pon dehp metabolite mehp ethylhexyl mono paraoxonase dbp level plastic human enzymatic measurable butyl lhm protect urinalysis serum care 
196	0.0125	dioxin like lake pcdd calux chicago equivalence michigan profile bioassay pcbs canal congener level dibenzo respect calculate sediment toxic compound 
197	0.0125	bpa bisphenol endocrine human plastic disrupt resin estrogen level dose serum disruptor polycarbonate food metabolic estradiol anima contain evidence measurable 
198	0.0125	confound bias variable measurable select causal surrogate assumption error self independence random epidemiologic condition assess true due instrument meliloti even 
199	0.0125	nrf factor antioxidant response stress oxidant transcript nuclear protect pathway inducted mediate keap erythroid enzymatic detoxification element phase electrophile depend 
200	0.0125	adduct dna carcinogen format formaldehyde human mutagen form deaminase aid genotoxic deb endogenous mutat butadiene exogenous guanine expose metabolic bulkier 
201	0.0125	sod oxidant nitric superoxidase nitrosyl synthase ino dismutase nos mnsod mediate enzymatic copper ccs sno stress cuzn nitrosamine manganese format 
202	0.0125	prostate cancer androgen pca lncap men tramp benign progress castrate bph advance risk develop evidence psa hyperplasia aggression local carcinogenesis 
203	0.0125	neurotoxic development chlorpyrifos organophosphatases develop differentiability neurobehavior endosulfan neurite adulthood dexamethasone indicate agent produce receptor neonatal diazinon parathion outgrowth target 
204	0.0125	pathway identifiability response transcript differentiability microarray profile alter involve transcriptomal molecular function genome biolog data network set enrich comparability level 
205	0.0125	mehg exercise methylmercuric tolerability toxic run train level wheel neurotoxic target system line ddah select min attenuate develop brain expose 
206	0.0125	vaccinate dcs immune response dendrite node antigen lymph adjuvant mice specific mhc function prime cdc class stimulant generate enhance ova 
207	0.0125	chromosomal mitotempo meiotic recombinant frequencies meiosis crossover oocyte segregate homolog mitosis division aberrant aneuploidies spindle chromatid cohesin event pair trisomic 
208	0.0125	liver mice mrna ugta enzymatic fmo hepatectomy mouse ugt phase metabolic kidney glucuronidase drug ugtb udp xenobiotic glucuronosyltransferase level alter 
209	0.0125	radical free trap spin oxidant format aristolochia form dmpo adduct detect generate center electron derivation peroxidase oxygen produce esr hydroxyl 
210	0.0125	fullerene biofilm solvent derivation laser irradiance pulsatile produce solute intense photodegradation hydroxyl photolysis tri determinant water surface develop farnesol sunlight 
